upstream_length,downstream_length,mse,r2
5,50,1.054829126975742,0.5559216391598009
52,50,1.054829126975742,0.5559216391598009
30,50,1.054829126975742,0.5559216391598009
42,50,1.054829126975742,0.5559216391598009
23,50,1.054829126975742,0.5559216391598009
65,50,1.054829126975742,0.5559216391598009
56,50,1.054829126975742,0.5559216391598009
29,50,1.054829126975742,0.5559216391598009
21,50,1.054829126975742,0.5559216391598009
57,50,1.054829126975742,0.5559216391598009
32,50,1.054829126975742,0.5559216391598009
14,50,1.054829126975742,0.5559216391598009
48,50,1.054829126975742,0.5559216391598009
63,50,1.054829126975742,0.5559216391598009
45,50,1.054829126975742,0.5559216391598009
3,50,1.054829126975742,0.5559216391598009
66,50,1.054829126975742,0.5559216391598009
2,50,1.054829126975742,0.5559216391598009
37,50,1.054829126975742,0.5559216391598009
4,50,1.054829126975742,0.5559216391598009
27,50,1.054829126975742,0.5559216391598009
6,50,1.054829126975742,0.5559216391598009
59,50,1.054829126975742,0.5559216391598009
8,50,1.054829126975742,0.5559216391598009
18,50,1.054829126975742,0.5559216391598009
47,50,1.054829126975742,0.5559216391598009
12,50,1.054829126975742,0.5559216391598009
36,50,1.054829126975742,0.5559216391598009
58,50,1.054829126975742,0.5559216391598009
7,50,1.054829126975742,0.5559216391598009
26,50,1.054829126975742,0.5559216391598009
9,50,1.054829126975742,0.5559216391598009
55,50,1.054829126975742,0.5559216391598009
38,50,1.054829126975742,0.5559216391598009
50,50,1.054829126975742,0.5559216391598009
18,30,1.0530163969112452,0.5566847904371982
14,30,1.0530163969112452,0.5566847904371982
48,30,1.0530163969112452,0.5566847904371982
37,30,1.0530163969112452,0.5566847904371982
42,30,1.0530163969112452,0.5566847904371982
30,30,1.0530163969112452,0.5566847904371982
24,30,1.0530163969112452,0.5566847904371982
59,30,1.0530163969112452,0.5566847904371982
1,30,1.0530163969112452,0.5566847904371982
0,30,1.0530163969112452,0.5566847904371982
29,30,1.0530163969112452,0.5566847904371982
56,30,1.0530163969112452,0.5566847904371982
49,30,1.0530163969112452,0.5566847904371982
17,30,1.0530163969112452,0.5566847904371982
44,30,1.0530163969112452,0.5566847904371982
12,30,1.0530163969112452,0.5566847904371982
61,30,1.0530163969112452,0.5566847904371982
25,30,1.0530163969112452,0.5566847904371982
20,30,1.0530163969112452,0.5566847904371982
4,30,1.0530163969112452,0.5566847904371982
54,30,1.0530163969112452,0.5566847904371982
